31.5728 	EXP 	New trial (rep=0, index=2): OrderedDict([('vid', 'stims/23FearFemaleWhite.avi'), ('corr', 1)])
31.7852 	EXP 	Created movie = MovieStim3(__class__=<class 'psychopy.visual.movie3.MovieStim3'>, autoLog=True, color=UNKNOWN, colorSpace=UNKNOWN, depth=0.0, filename='stims/23FearFemaleWhite.avi', flipHoriz=False, flipVert=False, fps=UNKNOWN, interpolate=True, loop=False, name='movie', noAudio=True, opacity=1.0, ori=0, pos=array([0. , 0.2]), size=array([900., 900.]), units='pix', vframe_callback=UNKNOWN, volume=UNKNOWN, win=Window(...))
31.8053 	EXP 	text: autoDraw = False
31.8053 	EXP 	movie: movie = 'stims/23FearFemaleWhite.avi'
31.8053 	EXP 	movie: autoLog = True
31.8053 	EXP 	movie: autoDraw = True
31.8053 	EXP 	text_2: autoDraw = True
43.3048 	DATA 	Keypress: space
43.3213 	EXP 	movie: autoDraw = False
43.3213 	EXP 	text_2: autoDraw = False
43.3213 	EXP 	text: autoDraw = True
43.5881 	DATA 	Keypress: 4
43.5887 	EXP 	New trial (rep=0, index=3): OrderedDict([('vid', 'stims/02SadFemaleWhite.avi'), ('corr', 4)])
43.8051 	EXP 	Created movie = MovieStim3(__class__=<class 'psychopy.visual.movie3.MovieStim3'>, autoLog=True, color=UNKNOWN, colorSpace=UNKNOWN, depth=0.0, filename='stims/02SadFemaleWhite.avi', flipHoriz=False, flipVert=False, fps=UNKNOWN, interpolate=True, loop=False, name='movie', noAudio=True, opacity=1.0, ori=0, pos=array([0. , 0.2]), size=array([900., 900.]), units='pix', vframe_callback=UNKNOWN, volume=UNKNOWN, win=Window(...))
43.8380 	EXP 	text: autoDraw = False
43.8380 	EXP 	movie: movie = 'stims/02SadFemaleWhite.avi'
43.8380 	EXP 	movie: autoLog = True
43.8380 	EXP 	movie: autoDraw = True
43.8380 	EXP 	text_2: autoDraw = True
45.3880 	DATA 	Keypress: space
45.4046 	EXP 	movie: autoDraw = False
45.4046 	EXP 	text_2: autoDraw = False
45.4046 	EXP 	text: autoDraw = True
45.8047 	DATA 	Keypress: 3
45.8053 	EXP 	New trial (rep=0, index=4): OrderedDict([('vid', 'stims/28HappyFemaleWhite.avi'), ('corr', 3)])
46.0094 	EXP 	Created movie = MovieStim3(__class__=<class 'psychopy.visual.movie3.MovieStim3'>, autoLog=True, color=UNKNOWN, colorSpace=UNKNOWN, depth=0.0, filename='stims/28HappyFemaleWhite.avi', flipHoriz=False, flipVert=False, fps=UNKNOWN, interpolate=True, loop=False, name='movie', noAudio=True, opacity=1.0, ori=0, pos=array([0. , 0.2]), size=array([900., 900.]), units='pix', vframe_callback=UNKNOWN, volume=UNKNOWN, win=Window(...))
46.0380 	EXP 	text: autoDraw = False
46.0380 	EXP 	movie: movie = 'stims/28HappyFemaleWhite.avi'
46.0380 	EXP 	movie: autoLog = True
46.0380 	EXP 	movie: autoDraw = True
46.0380 	EXP 	text_2: autoDraw = True
46.7896 	DATA 	Keypress: space
46.8045 	EXP 	movie: autoDraw = False
46.8045 	EXP 	text_2: autoDraw = False
46.8045 	EXP 	text: autoDraw = True
47.2047 	DATA 	Keypress: 5
47.2054 	EXP 	New trial (rep=0, index=5): OrderedDict([('vid', 'stims/07HappyFemaleWhite.avi'), ('corr', 3)])
47.4287 	EXP 	Created movie = MovieStim3(__class__=<class 'psychopy.visual.movie3.MovieStim3'>, autoLog=True, color=UNKNOWN, colorSpace=UNKNOWN, depth=0.0, filename='stims/07HappyFemaleWhite.avi', flipHoriz=False, flipVert=False, fps=UNKNOWN, interpolate=True, loop=False, name='movie', noAudio=True, opacity=1.0, ori=0, pos=array([0. , 0.2]), size=array([900., 900.]), units='pix', vframe_callback=UNKNOWN, volume=UNKNOWN, win=Window(...))
47.4545 	EXP 	text: autoDraw = False
47.4545 	EXP 	movie: movie = 'stims/07HappyFemaleWhite.avi'
47.4545 	EXP 	movie: autoLog = True
47.4545 	EXP 	movie: autoDraw = True
47.4545 	EXP 	text_2: autoDraw = True
48.3216 	DATA 	Keypress: space
48.3378 	EXP 	movie: autoDraw = False
48.3378 	EXP 	text_2: autoDraw = False
48.3378 	EXP 	text: autoDraw = True
48.8878 	DATA 	Keypress: 7
48.8884 	EXP 	New trial (rep=0, index=6): OrderedDict([('vid', 'stims/24AngryFemaleWhite.avi'), ('corr', 2)])
49.1000 	EXP 	Created movie = MovieStim3(__class__=<class 'psychopy.visual.movie3.MovieStim3'>, autoLog=True, color=UNKNOWN, colorSpace=UNKNOWN, depth=0.0, filename='stims/24AngryFemaleWhite.avi', flipHoriz=False, flipVert=False, fps=UNKNOWN, interpolate=True, loop=False, name='movie', noAudio=True, opacity=1.0, ori=0, pos=array([0. , 0.2]), size=array([900., 900.]), units='pix', vframe_callback=UNKNOWN, volume=UNKNOWN, win=Window(...))
49.1211 	EXP 	text: autoDraw = False
49.1211 	EXP 	movie: movie = 'stims/24AngryFemaleWhite.avi'
49.1211 	EXP 	movie: autoLog = True
49.1211 	EXP 	movie: autoDraw = True
49.1211 	EXP 	text_2: autoDraw = True
49.8711 	DATA 	Keypress: space
49.8876 	EXP 	movie: autoDraw = False
49.8876 	EXP 	text_2: autoDraw = False
49.8876 	EXP 	text: autoDraw = True
